driver,sector,delta_time_sec,delta_brake_m,delta_throttle_m,delta_min_speed_kph
Kiss Benedek,Parabolica,0.2537,100.2705,43.2824,-0.1710
Luke Tyler,T1-T2 (Rettifilo),0.2081,26.8473,-4.0170,-1.2090
Luke Tyler,Curva Grande,0.1229,,5.9604,-0.1713
Luke Tyler,Var. della Roggia,0.1853,40.5660,2.6926,-1.0102
Luke Tyler,Lesmo 1-2,0.2393,34.2245,324.3103,0.0758
Luke Tyler,Serraglio,0.0927,88.3699,,1.2570
Luke Tyler,Ascari,0.2270,,33.8796,-1.7491
Luke Tyler,Parabolica,0.1757,108.1177,47.3040,-0.3514
Maik Schmidt,T1-T2 (Rettifilo),0.3158,30.8661,0.2790,-1.9546
Maik Schmidt,Curva Grande,0.2151,,7.4646,-1.2517
Maik Schmidt,Var. della Roggia,0.1439,51.8933,7.7725,-1.5876
Maik Schmidt,Lesmo 1-2,0.4302,38.6865,341.1608,-1.3554
Maik Schmidt,Serraglio,0.1716,106.7715,,0.3170
Maik Schmidt,Ascari,0.0527,,34.9715,-3.1026
Maik Schmidt,Parabolica,0.4108,112.3851,45.1017,-2.1881
Marco Hoekstra,T1-T2 (Rettifilo),0.2936,24.2907,7.4697,0.1684
Marco Hoekstra,Curva Grande,0.1713,,9.6988,-1.1894
Marco Hoekstra,Var. della Roggia,0.1244,57.3019,13.5267,-0.5304
Marco Hoekstra,Lesmo 1-2,0.5254,33.2159,354.6784,-1.3453
Marco Hoekstra,Serraglio,0.0971,123.8813,,1.8586
Marco Hoekstra,Ascari,0.1951,,57.4987,-2.3127
Marco Hoekstra,Parabolica,0.2541,135.4990,50.1670,-1.5378
Patrick Strijdonck,T1-T2 (Rettifilo),0.1893,29.7020,3.0509,0.0999
Patrick Strijdonck,Curva Grande,0.1789,,6.3506,-1.1810
Patrick Strijdonck,Var. della Roggia,0.1061,54.6167,6.8714,-1.5072
Patrick Strijdonck,Lesmo 1-2,0.3851,31.7403,7.2319,-0.1193
Patrick Strijdonck,Serraglio,0.0728,104.9589,,1.9943
Patrick Strijdonck,Ascari,0.0950,,35.5175,-1.2317
Patrick Strijdonck,Parabolica,0.3317,104.4055,31.4243,0.0876
Ricardo Valero García,T1-T2 (Rettifilo),0.2838,32.3031,2.8672,0.0958
Ricardo Valero García,Curva Grande,0.1623,,7.5257,-0.9766
Ricardo Valero García,Var. della Roggia,0.2185,54.6199,15.1689,-0.5521
Ricardo Valero García,Lesmo 1-2,0.4404,44.5408,342.1878,-0.1128
Ricardo Valero García,Serraglio,0.1220,115.8502,,0.1620
Ricardo Valero García,Ascari,0.1383,,49.3019,-2.5252
Ricardo Valero García,Parabolica,0.4925,128.3949,48.2626,-0.3194
Sjors Busscher,T1-T2 (Rettifilo),0.3984,16.2789,9.2264,-0.1410
Sjors Busscher,Curva Grande,0.1799,,13.4529,-1.3204
Sjors Busscher,Var. della Roggia,0.0311,67.4846,12.4852,0.0647
Sjors Busscher,Lesmo 1-2,0.2217,42.5116,340.1888,0.5494
Sjors Busscher,Serraglio,-0.0043,98.0606,,4.2363
Sjors Busscher,Ascari,0.2604,,37.8202,-3.9674
Sjors Busscher,Parabolica,0.1698,95.2239,27.3169,1.4039
Tobias Baaken,T1-T2 (Rettifilo),0.1850,25.8165,-1.2435,0.2014
Tobias Baaken,Curva Grande,0.1070,,6.2994,-1.4241
Tobias Baaken,Var. della Roggia,0.1269,38.6718,8.7482,0.1654
Tobias Baaken,Lesmo 1-2,0.0871,26.4480,324.0734,0.5708
Tobias Baaken,Serraglio,-0.0072,61.3058,,1.4128
Tobias Baaken,Ascari,0.1469,,25.5946,-1.0492
Tobias Baaken,Parabolica,0.2402,63.0898,27.0022,-2.3836
Ventsislav Raychinov,T1-T2 (Rettifilo),0.0657,17.7302,-5.2255,-2.5658
Ventsislav Raychinov,Curva Grande,-0.0026,,0.0000,-0.4731
Ventsislav Raychinov,Var. della Roggia,0.0868,7.7772,-0.4215,-0.5769
Ventsislav Raychinov,Lesmo 1-2,0.0814,5.6536,328.3351,0.7560
Ventsislav Raychinov,Serraglio,-0.0589,36.5658,,6.3594
Ventsislav Raychinov,Ascari,0.1866,,16.0023,-1.1540
Ventsislav Raychinov,Parabolica,0.1589,42.1389,6.3288,-0.3127
samuel albert,T1-T2 (Rettifilo),0.1954,9.4562,-0.2983,-0.5646
samuel albert,Curva Grande,0.1511,,5.8422,-0.8332
samuel albert,Var. della Roggia,0.0063,54.7949,4.7789,-0.2859
samuel albert,Lesmo 1-2,0.3376,26.8964,338.4272,-0.5720
samuel albert,Serraglio,0.0497,86.2871,,3.3568
samuel albert,Ascari,0.2019,,22.9275,1.5963
samuel albert,Parabolica,0.1449,92.9843,32.3317,1.1762
